Temperature,Year,Month,ISO3
1.39097,1961,Jan,AFG
0.90369,1961,Feb,AFG
8.00043,1961,Mar,AFG
12.3588,1961,Apr,AFG
19.2618,1961,May,AFG
22.7845,1961,Jun,AFG
25.5794,1961,Jul,AFG
23.7778,1961,Aug,AFG
20.5201,1961,Sep,AFG
11.7826,1961,Oct,AFG
6.17419,1961,Nov,AFG
3.08765,1961,Dec,AFG
0.2178,1962,Jan,AFG
4.86073,1962,Feb,AFG
9.21193,1962,Mar,AFG
13.1595,1962,Apr,AFG
17.8021,1962,May,AFG
22.026,1962,Jun,AFG
25.1854,1962,Jul,AFG
23.305,1962,Aug,AFG
17.3479,1962,Sep,AFG
12.0959,1962,Oct,AFG
4.31819,1962,Nov,AFG
1.7511,1962,Dec,AFG
2.56103,1963,Jan,AFG
6.13385,1963,Feb,AFG
7.92977,1963,Mar,AFG
13.9198,1963,Apr,AFG
17.1359,1963,May,AFG
23.9893,1963,Jun,AFG
25.2344,1963,Jul,AFG
23.5669,1963,Aug,AFG
19.0576,1963,Sep,AFG
14.6614,1963,Oct,AFG
7.13441,1963,Nov,AFG
1.89387,1963,Dec,AFG
-4.1752,1964,Jan,AFG
2.35688,1964,Feb,AFG
9.31992,1964,Mar,AFG
12.6143,1964,Apr,AFG
17.8062,1964,May,AFG
22.3411,1964,Jun,AFG
24.9046,1964,Jul,AFG
24.2136,1964,Aug,AFG
18.7699,1964,Sep,AFG
10.272,1964,Oct,AFG
5.96833,1964,Nov,AFG
-1.2292,1964,Dec,AFG
1.63985,1965,Jan,AFG
2.47048,1965,Feb,AFG
7.0145,1965,Mar,AFG
11.3304,1965,Apr,AFG
17.6977,1965,May,AFG
22.2347,1965,Jun,AFG
25.015,1965,Jul,AFG
22.7714,1965,Aug,AFG
18.253,1965,Sep,AFG
15.0494,1965,Oct,AFG
8.53311,1965,Nov,AFG
1.75895,1965,Dec,AFG
3.86838,1966,Jan,AFG
6.16489,1966,Feb,AFG
7.70107,1966,Mar,AFG
12.1127,1966,Apr,AFG
17.6204,1966,May,AFG
24.0696,1966,Jun,AFG
24.5635,1966,Jul,AFG
23.668,1966,Aug,AFG
18.628,1966,Sep,AFG
12.5213,1966,Oct,AFG
4.45945,1966,Nov,AFG
2.01452,1966,Dec,AFG
-0.9853,1967,Jan,AFG
2.94731,1967,Feb,AFG
7.11538,1967,Mar,AFG
11.9819,1967,Apr,AFG
16.5862,1967,May,AFG
22.0694,1967,Jun,AFG
25.2267,1967,Jul,AFG
23.3582,1967,Aug,AFG
19.326,1967,Sep,AFG
12.5635,1967,Oct,AFG
7.83195,1967,Nov,AFG
2.27867,1967,Dec,AFG
0.55694,1968,Jan,AFG
0.78499,1968,Feb,AFG
8.14769,1968,Mar,AFG
12.513,1968,Apr,AFG
16.1739,1968,May,AFG
22.8904,1968,Jun,AFG
24.5566,1968,Jul,AFG
23.2978,1968,Aug,AFG
18.8128,1968,Sep,AFG
12.7116,1968,Oct,AFG
7.25261,1968,Nov,AFG
2.68499,1968,Dec,AFG
-2.1458,1969,Jan,AFG
-0.7672,1969,Feb,AFG
9.85155,1969,Mar,AFG
12.5468,1969,Apr,AFG
16.9918,1969,May,AFG
22.7441,1969,Jun,AFG
25.014,1969,Jul,AFG
23.0249,1969,Aug,AFG
18.1749,1969,Sep,AFG
13.9014,1969,Oct,AFG
5.86665,1969,Nov,AFG
4.68552,1969,Dec,AFG
0.58862,1970,Jan,AFG
4.26148,1970,Feb,AFG
6.72276,1970,Mar,AFG
14.7613,1970,Apr,AFG
19.6323,1970,May,AFG
23.2675,1970,Jun,AFG
24.5474,1970,Jul,AFG
25.4214,1970,Aug,AFG
18.986,1970,Sep,AFG
13.6955,1970,Oct,AFG
7.59327,1970,Nov,AFG
2.08776,1970,Dec,AFG
-1.0926,1971,Jan,AFG
3.10182,1971,Feb,AFG
8.94683,1971,Mar,AFG
14.4163,1971,Apr,AFG
19.986,1971,May,AFG
24.0572,1971,Jun,AFG
24.8358,1971,Jul,AFG
23.6402,1971,Aug,AFG
17.9819,1971,Sep,AFG
12.7256,1971,Oct,AFG
8.42131,1971,Nov,AFG
4.5121,1971,Dec,AFG
-1.7772,1972,Jan,AFG
-3.7988,1972,Feb,AFG
5.87105,1972,Mar,AFG
12.6515,1972,Apr,AFG
16.7256,1972,May,AFG
22.4547,1972,Jun,AFG
23.4639,1972,Jul,AFG
21.305,1972,Aug,AFG
18.1977,1972,Sep,AFG
12.7459,1972,Oct,AFG
8.04042,1972,Nov,AFG
0.46644,1972,Dec,AFG
-2.6935,1973,Jan,AFG
3.23735,1973,Feb,AFG
7.24478,1973,Mar,AFG
14.1067,1973,Apr,AFG
18.5926,1973,May,AFG
24.7274,1973,Jun,AFG
25.2408,1973,Jul,AFG
24.0635,1973,Aug,AFG
18.7762,1973,Sep,AFG
13.0112,1973,Oct,AFG
7.40116,1973,Nov,AFG
1.7021,1973,Dec,AFG
-1.3287,1974,Jan,AFG
-1.3732,1974,Feb,AFG
8.61675,1974,Mar,AFG
14.0311,1974,Apr,AFG
18.0908,1974,May,AFG
22.5157,1974,Jun,AFG
25.1709,1974,Jul,AFG
22.6384,1974,Aug,AFG
18.692,1974,Sep,AFG
10.9155,1974,Oct,AFG
6.66057,1974,Nov,AFG
0.8123,1974,Dec,AFG
-0.7634,1975,Jan,AFG
1.00747,1975,Feb,AFG
6.66347,1975,Mar,AFG
12.4581,1975,Apr,AFG
17.9485,1975,May,AFG
22.9502,1975,Jun,AFG
25.0396,1975,Jul,AFG
23.9779,1975,Aug,AFG
19.2404,1975,Sep,AFG
12.3508,1975,Oct,AFG
4.82645,1975,Nov,AFG
1.86365,1975,Dec,AFG
2.26892,1976,Jan,AFG
1.0017,1976,Feb,AFG
4.86561,1976,Mar,AFG
12.4399,1976,Apr,AFG
18.4929,1976,May,AFG
22.4975,1976,Jun,AFG
25.7331,1976,Jul,AFG
23.7818,1976,Aug,AFG
19.525,1976,Sep,AFG
13.5011,1976,Oct,AFG
4.68167,1976,Nov,AFG
1.37466,1976,Dec,AFG
-3.512,1977,Jan,AFG
2.16546,1977,Feb,AFG
11.1887,1977,Mar,AFG
14.6042,1977,Apr,AFG
