Temperature,Year,Month,ISO3
-0.0378,1901,Jan,AFG
2.42348,1901,Feb,AFG
9.3623,1901,Mar,AFG
13.5564,1901,Apr,AFG
18.1509,1901,May,AFG
22.1727,1901,Jun,AFG
25.3787,1901,Jul,AFG
23.6652,1901,Aug,AFG
19.4655,1901,Sep,AFG
11.2837,1901,Oct,AFG
8.6319,1901,Nov,AFG
4.02148,1901,Dec,AFG
2.43386,1902,Jan,AFG
2.32874,1902,Feb,AFG
7.61617,1902,Mar,AFG
12.3997,1902,Apr,AFG
19.4873,1902,May,AFG
24.1452,1902,Jun,AFG
25.0482,1902,Jul,AFG
24.2475,1902,Aug,AFG
19.0351,1902,Sep,AFG
12.9641,1902,Oct,AFG
7.19137,1902,Nov,AFG
3.21455,1902,Dec,AFG
-1.588,1903,Jan,AFG
2.6049,1903,Feb,AFG
2.19759,1903,Mar,AFG
10.9805,1903,Apr,AFG
17.0656,1903,May,AFG
23.4819,1903,Jun,AFG
24.7819,1903,Jul,AFG
23.887,1903,Aug,AFG
19.8621,1903,Sep,AFG
14.1072,1903,Oct,AFG
5.79271,1903,Nov,AFG
0.90361,1903,Dec,AFG
-5.5545,1904,Jan,AFG
4.27782,1904,Feb,AFG
7.50411,1904,Mar,AFG
11.7398,1904,Apr,AFG
17.9897,1904,May,AFG
22.8683,1904,Jun,AFG
25.0061,1904,Jul,AFG
23.9715,1904,Aug,AFG
18.7715,1904,Sep,AFG
11.0836,1904,Oct,AFG
8.79818,1904,Nov,AFG
3.92464,1904,Dec,AFG
-1.8435,1905,Jan,AFG
-1.7698,1905,Feb,AFG
3.42272,1905,Mar,AFG
12.8392,1905,Apr,AFG
18.7107,1905,May,AFG
23.5721,1905,Jun,AFG
25.1425,1905,Jul,AFG
23.8485,1905,Aug,AFG
19.0231,1905,Sep,AFG
14.7307,1905,Oct,AFG
7.64407,1905,Nov,AFG
1.88543,1905,Dec,AFG
-1.0413,1906,Jan,AFG
0.54912,1906,Feb,AFG
6.80418,1906,Mar,AFG
10.6162,1906,Apr,AFG
18.6138,1906,May,AFG
23.676,1906,Jun,AFG
24.8869,1906,Jul,AFG
24.9104,1906,Aug,AFG
18.7982,1906,Sep,AFG
14.2315,1906,Oct,AFG
7.80828,1906,Nov,AFG
4.07322,1906,Dec,AFG
0.95404,1907,Jan,AFG
0.54133,1907,Feb,AFG
6.55103,1907,Mar,AFG
13.4165,1907,Apr,AFG
16.2032,1907,May,AFG
21.2821,1907,Jun,AFG
25.2362,1907,Jul,AFG
23.3621,1907,Aug,AFG
18.7366,1907,Sep,AFG
10.957,1907,Oct,AFG
5.72489,1907,Nov,AFG
2.58663,1907,Dec,AFG
0.89113,1908,Jan,AFG
1.72961,1908,Feb,AFG
5.89961,1908,Mar,AFG
12.6312,1908,Apr,AFG
17.0839,1908,May,AFG
23.1196,1908,Jun,AFG
25.6291,1908,Jul,AFG
23.5242,1908,Aug,AFG
18.6603,1908,Sep,AFG
11.1287,1908,Oct,AFG
7.77281,1908,Nov,AFG
